,id,est_diameter_max,relative_velocity,miss_distance,absolute_magnitude,hazardous
54,3794971,0.0430566244,53272.90910034532,38740547.37136395,25.7,False
55,54158069,0.1432319745,56984.921549093684,46365366.154262185,23.09,False
56,3557536,0.0206081961,10911.21481963404,2976330.2987893336,27.3,False
57,3656918,0.3750075218,44955.07173369003,60788795.1104624,21.0,False
58,54057195,0.1241766613,15045.421597790088,46606232.14068545,23.4,False
59,54137509,0.0450858206,31302.76743196363,31247485.248493064,25.6,False
60,2503880,1.54184238,115149.2669717009,52471992.240220815,17.93,False
61,3172329,0.1968067451,8515.914924971774,50998700.95853348,22.4,False
62,3740044,0.0494356193,61677.34636751781,53041992.1288918,25.4,False
63,3776011,0.0450858206,45953.483366388136,43281444.97996097,25.6,False
64,54017304,0.0196806745,22453.579591757363,27680283.42660129,27.4,False
65,54091635,0.0765667087,50325.92632235812,46003075.43580211,24.45,False
66,2086450,1.2417666126,56898.412897698225,53854237.216276996,18.4,False
67,2162854,0.9463242708,41141.58131776685,52670116.32321632,18.99,False
68,2425755,0.3420109247,112506.10786656485,41781749.13600629,21.2,True
69,3605793,0.3750075218,25606.054329188777,59148738.97915573,21.0,False
70,3610526,0.6368541435,99296.03268692865,32803665.242110092,19.85,True
71,3625335,0.0899580388,45780.01245433744,13928868.286666553,24.1,False
72,3653190,0.3251172245,34192.090505125176,50314610.48743035,21.31,True
73,3685814,0.1032856481,17790.05464811443,45050194.03119301,23.8,False
74,3753287,0.0171411509,50105.22285885619,45236232.232635066,27.7,False
75,54248008,0.0211855615,38839.281318476904,28885645.30833314,27.24,False
76,2026663,1.3183780956,59226.45939050075,24837726.038458426,18.27,True
77,2138911,0.8395372662,16602.1132704314,56164371.76876104,19.25,False
78,2153219,1.1642331974,79709.479242185,37087291.41461637,18.54,False
79,2162117,0.9419763057,66615.85082117163,53856237.08847447,19.0,False
80,2230111,0.8995803882,45136.57604261821,45718415.96366726,19.1,True
81,3656413,0.0567596853,41890.91357233728,35715124.38801035,25.1,False
82,3673866,0.0820427065,41563.430128452055,39214730.73817671,24.3,False
83,3699442,0.1361570015,59515.66069950716,44683196.03949018,23.2,False
84,54017323,0.2477650126,57922.902087408474,52534540.126933336,21.9,False
85,54101674,0.0597090249,74548.5185865814,31968943.82798269,24.99,False
86,54104542,0.0839537266,55418.84110482753,44081185.94970256,24.25,False
87,54264233,0.015850391,45952.80796543295,42970919.18175411,27.87,False
88,2068031,1.4061769631,27729.029416654543,54012914.25580621,18.13,False
89,2455199,0.6516883822,48373.59133612633,53039633.67109859,19.8,False
90,3071939,0.1361570015,29403.964162820124,33073256.826605786,23.2,False
91,3102762,0.0899580388,30174.155509938835,28301760.513304483,24.1,False
92,3655734,0.3750075218,48677.55664755995,48932743.88328285,21.0,False
93,3841199,0.0682401509,31807.10333074151,29920989.38216753,24.7,False
94,3125003,0.3119176705,46968.001688447555,45314591.30687665,21.4,True
95,3471976,0.0171411509,31950.940799941298,35162051.40037888,27.7,False
96,3768653,0.3119176705,47144.816962867,53221825.36498114,21.4,False
97,3790129,1.9590250023,132621.70470106445,57727782.60438077,17.41,False
98,3799636,0.3467687706,33723.06620448264,54877334.843635716,21.17,False
99,3842613,0.3119176705,58199.786848985204,49346088.59999691,21.4,False
100,54049789,0.0326617897,24531.68076387303,34382209.03444533,26.3,False
101,2612358,0.3148038092,46968.00179775437,45314591.30551665,21.38,True
102,3072545,0.602615057,115505.89703948535,46703231.280983716,19.97,False
103,3398648,0.2041925905,40199.89362706291,42428737.016242445,22.32,False
104,3684344,0.2844722965,63495.18206382084,51356047.90758664,21.6,False
105,3743119,0.7482383761,82722.6191509304,44181157.566819616,19.5,True
106,3795036,0.0297879063,18443.800660864297,18830999.01812271,26.5,False
107,3797488,0.130028927,34526.676738485796,40033510.01385322,23.3,False
108,3893740,0.4305662442,43185.41858756713,49335701.62095515,20.7,False
109,54239541,0.3162568776,69727.78049124635,47056160.29601617,21.37,True
110,2020790,3.1480380919,20431.9006108626,40374852.1038863,16.38,False
111,2537829,0.69189466,48074.60601417259,45042289.9296381,19.67,False
112,3068066,0.0375007522,27293.903180748708,27167197.462477908,26.0,False
113,3092288,0.0594346868,31621.788747005,3485924.166256893,25.0,False
114,3725977,0.7482383761,61490.34923027004,40785737.42513498,19.5,False
115,3746629,0.016369672,30831.41607468419,36225954.40299971,27.8,False
116,3801934,0.3162568776,30642.87478646537,49620293.17094164,21.37,True
117,3802037,0.1636967205,35666.95510408055,38950030.28898242,22.8,False
118,3841713,0.0941976306,74416.27236093598,42592417.75483817,24.0,False
119,3985571,3.4676877062,33072.16149190337,61231223.416537285,16.17,False
120,3986701,0.2477650126,92814.37544561597,40333441.04795398,21.9,False
121,2594913,3.4043952726,33072.146060090345,61231220.10236908,16.21,False
122,2526742,0.5176544822,57452.88292835688,49145754.288257696,20.3,False
123,3554439,0.0714562102,65552.89327937082,37127158.86923675,24.6,False
124,3588787,0.6824015094,45026.91595690065,40732776.3997391,19.7,False
125,3789119,0.130028927,29315.36669747925,37820945.9227183,23.3,False
126,54209481,0.2004656557,59509.84640869945,34468911.75661273,22.36,False
127,54244780,0.0223892723,47223.9995336324,40248876.45396688,27.12,False
128,3157021,0.1132504611,51782.28685036517,39727283.01688546,23.6,False
129,3516632,0.7145621017,77479.44006052527,52906429.60086754,19.6,False
130,3740496,0.1175005715,54575.59367667065,21778290.95340389,23.52,False
131,3751530,0.0622357573,21650.082477646145,34169888.150653854,24.9,False
132,3781006,0.6824015094,94544.94663158705,63106604.65039466,19.7,False
133,3830496,0.6607542706,61017.388927546526,45482438.676661134,19.77,False
134,54054459,0.0986370281,56053.31915638222,45605819.130615175,23.9,False
135,2469929,0.3750075218,57192.55117723435,36052509.739165545,21.0,False
136,3313180,0.8395372662,88661.24934515402,39118626.82218822,19.25,False
137,3506746,0.0820427065,75022.11878001112,34440482.52895293,24.3,False
138,3837827,0.4305662442,104953.18230897828,45276265.751042426,20.7,False
139,3989673,0.1714115092,49133.9806382682,27040789.9218456,22.7,False
140,54130498,0.0274182656,46254.37955046886,44229627.17301278,26.68,False
141,54245562,0.0219806221,66801.41464792805,26852110.725305527,27.16,False
142,2267223,1.4257388333,104175.762771754,41695152.63629758,18.1,False
143,2368184,0.7482383761,48137.36401061158,43040564.5653574,19.5,False
144,3092286,0.0714562102,38796.4598154052,5427640.685445764,24.6,False
145,3072405,0.8204270649,64966.8062796185,67509531.08009684,19.3,False
146,3154493,0.2978790628,73975.15580456375,42208981.765655205,21.5,False
147,3748182,0.1888165155,46890.36411111181,24005009.461432476,22.49,False
148,54016640,0.8995803882,99359.095710269,43403368.92698699,19.1,False
149,54101721,0.0219806221,39493.74985105964,43249478.035691746,27.16,False
150,3177193,0.0271668934,45841.581070408014,41984780.31864367,26.7,False
151,3797674,0.0783501764,40888.1525404829,46791940.65433452,24.4,False
152,3825556,0.2157943048,48790.932612714925,35797783.56214921,22.2,False
153,54153123,0.0679266159,19272.53982509913,46830634.350442775,24.71,False
154,2509352,0.5675968529,57081.40991360349,45513522.40333372,20.1,True
155,3005969,0.1959025002,59809.18158297719,46238717.1196556,22.41,False
156,3545238,0.4943561926,71576.62254145331,57150455.11408809,20.4,False
157,54269715,0.1452245297,39046.98007853391,40056096.79393879,23.06,False
158,2152742,0.8954471917,92439.11578193016,46667788.62592896,19.11,False
159,2313538,1.2417666126,68430.5262417989,47679999.539070584,18.4,False
160,2385186,1.7459828712,49708.59474145905,50912116.3648697,17.66,True
161,3092287,0.3756989478,46886.7300513581,26628341.33377231,20.996,False
162,3555411,0.5781492662,75426.95766462092,47279413.61828129,20.06,False
163,3656923,0.0206081961,35259.6431120492,44488495.36964583,27.3,False
164,3553666,1.1858779086,86918.5132815325,59426614.789398246,18.5,False
165,3645193,0.0651688382,53940.64891311667,50900599.14462387,24.8,False
166,3660059,0.0297879063,34810.021763500394,39604429.603333324,26.5,False
167,3797858,0.0494356193,47262.17910057307,39926776.37239074,25.4,False
168,54088813,0.0594346868,43709.108752477434,42041346.522182405,25.0,False
169,54235681,0.02884297,31644.077641159525,30978691.169983294,26.57,False
170,2217013,1.0815335068,80945.81574153836,53787970.95914903,18.7,False
171,2325395,1.8708543531,46592.03707835725,44465527.2393717,17.51,True
172,2497135,1.4191881584,89827.86137667848,58127823.84306535,18.11,False
173,2523804,0.5346135707,50508.70688210538,38105011.36780602,20.23,True
174,3584577,0.1492931834,21722.35879873585,18623350.70819478,23.0,False
175,3754434,0.0187948982,25207.58884154572,50126486.57752495,27.5,False
176,3797491,0.1563291544,42639.355110719225,41831230.924436145,22.9,False
177,3837641,0.1361570015,30898.11168457493,38586226.016436405,23.2,False
178,3989194,0.0472106499,71116.15792879931,37285578.41567622,25.5,False
179,2530938,0.8166575449,61913.35945052663,45915792.13287669,19.31,False
180,3743122,0.0297879063,57533.445271517616,57589723.20014213,26.5,False
181,54054332,0.023661375,31751.779165691263,26197488.709948335,27.0,False
182,2348306,0.2910985075,65101.24283493999,40232218.245931506,21.55,True
183,2427778,0.5623930936,73299.47676234283,52938346.16645116,20.12,False
184,2495323,0.6824015094,77368.80486392388,55562378.62542013,19.7,False
185,3557791,0.1879489824,49967.62095250282,50878119.29559977,22.5,False
186,3656928,0.2844722965,64458.64807298425,22642892.98998589,21.6,False
187,3662252,0.0411187571,68010.09311373887,45513985.61892639,25.8,False
188,3670630,0.0651688382,51940.85163572272,38559099.78871762,24.8,False
189,3989652,0.0472106499,40215.44211099606,38645955.96796448,25.5,False
190,54106576,0.0567596853,30603.921464371706,34895682.83977323,25.1,False
191,2005131,6.3392806452,98613.59467738016,58726906.13610944,14.86,False
192,2228502,0.5272783976,34984.94509899142,35537720.7429169,20.26,False
193,2418198,0.9639177525,70990.83357646185,51010074.87336974,18.95,False
194,3064315,0.1636967205,36003.16706569726,35517066.97196993,22.8,False
195,3092285,0.6252302454,73260.85999990343,48693566.01336485,19.89,False
196,3076609,0.1794898848,22778.8986097376,10099545.289670808,22.6,False
197,3102758,0.2978790628,42759.52098162877,35498500.88521703,21.5,False
198,3256321,0.2259643771,51908.88785083126,40767127.79049968,22.1,False
199,3724221,0.7482383761,74141.17535388857,47782766.685143314,19.5,True
200,54054410,0.7142331095,74148.87030144845,47768765.90193775,19.601,True
201,54254975,0.0224926165,25467.793574451942,26693371.044161532,27.11,False
202,3076813,0.1794898848,39940.7803996739,14857266.931431564,22.6,False
203,3555888,0.5176544822,67775.61412065108,39924120.7277432,20.3,False
204,3825627,0.1361570015,38123.39184718072,47054032.97861499,23.2,False
205,54244183,0.039814382,65477.69129129149,39915187.13973736,25.87,False
206,2153267,1.599705282,80641.6940797622,43177869.8175618,17.85,False
207,2416151,0.4405954204,39402.82205156376,40473979.87664818,20.65,False
208,3092284,0.2844722965,52739.790863334965,14850104.773834253,21.6,False
209,3072969,0.0986370281,53188.480658135,29276154.832711894,23.9,False
210,3070801,0.1879489824,25727.44926282488,19380951.56509562,22.5,False
211,3566360,0.0567596853,48846.52188466407,42775465.357282326,25.1,False
212,3704262,0.1241766613,42177.41650509298,32034611.05393352,23.4,False
213,3758926,0.2477650126,67292.4385360019,46347863.696878016,21.9,True
214,3795027,0.0136157002,55080.35665845999,50227552.183049046,28.2,False
215,3799273,0.0594346868,63484.63154099645,45568319.21832644,25.0,False
216,54017077,0.0651688382,28929.256131327777,33162352.097522113,24.8,False
217,2152941,1.7702719124,87500.56746841857,30568676.685825206,17.63,False
218,3383904,0.4305662442,75739.26774389365,38279056.622699976,20.7,True
219,3557543,0.0247765013,57826.24387941111,32983157.763104957,26.9,False
220,3626614,0.0986370281,47133.11195608195,13890776.878528524,23.9,False
221,3689268,0.0450858206,40835.70210756018,38650842.60958766,25.6,False
222,3840753,0.0196806745,28515.50022542343,29970016.828849256,27.4,False
223,54100190,0.0831840342,55717.91423017448,45089106.349183254,24.27,False
224,54244187,0.0356483948,74698.39922434742,28282921.814353097,26.11,False
225,3256739,0.5675968529,15950.62569785025,59370770.46177931,20.1,False
226,3457435,0.2410127282,80080.57561296264,36803351.99950088,21.96,False
227,3457846,0.0594346868,51111.227294891716,44318811.670972,25.0,False
228,3576469,0.4305662442,65234.66840908435,36514910.87530816,20.7,False
229,3599929,0.3266178974,46573.18806342725,22945727.873951137,21.3,False
230,3727341,0.2157943048,57680.7843776512,41959574.23506219,22.2,False
231,3769886,0.0567596853,21236.477883145933,30259348.17420532,25.1,False
232,3790060,0.411187571,95091.1007904954,37734954.87044691,20.8,False
233,3799713,0.0130028927,26491.13972696884,43478331.71279406,28.3,False
234,3837955,0.2167903661,56920.45540043452,49896012.56920563,22.19,False
235,54048828,0.9594889528,111378.92824165175,41840026.41084451,18.96,True
236,2585734,0.2157943048,56920.45547313973,49896012.55068396,22.2,False
237,54215193,0.0405545866,30180.18538113204,54617211.27291617,25.83,False
238,2141432,0.5943468684,53851.604356965385,47497151.9567257,20.0,True
239,3402249,0.0622357573,71365.90578541427,41606536.64920935,24.9,False
240,3702706,0.0748238376,53772.350995811794,42356724.49116909,24.5,False
241,3740101,0.0783501764,91768.41651257701,42192582.60554524,24.4,False
242,3752430,0.0149293183,38216.59143264174,36883343.44914232,28.0,False
243,3568329,0.2060819612,31614.52780214053,26332148.48428331,22.3,False
244,3596682,0.130028927,65850.39782309775,55647661.48822017,23.3,False
245,3662632,0.2716689341,28745.9910650866,54056070.84623933,21.7,False
246,3683393,0.0326617897,25368.86566969601,31064554.83788746,26.3,False
247,3704769,0.0567596853,34804.041448282915,39281241.30957007,25.1,False
248,3709250,0.3119176705,76066.79988265513,54845551.89908875,21.4,False
249,3722211,0.5675968529,61950.204548746064,54725475.55143232,20.1,False
250,3767164,0.0986370281,57360.06090673744,48861410.460233636,23.9,False
251,3769817,0.0259441818,62928.823709840166,36933176.896197185,26.8,False
252,3989280,0.0748238376,32187.279529394425,31669460.540514622,24.5,False
253,54187638,0.2679414966,55779.989817386806,40525074.89405525,21.73,False
254,3070723,0.8995803882,62067.25249168985,63593416.59184317,19.1,False
255,3297629,0.0304817558,31997.96793622243,27363115.104713976,26.45,False
256,3599866,0.2477650126,64125.39082876037,29141058.107575458,21.9,True
257,3742342,0.3119176705,73146.2363410522,33067409.34968715,21.4,True
258,3759664,0.4305662442,80482.34448847994,54131589.737444475,20.7,False
259,3765021,0.0196806745,31736.555975261686,46761246.47041756,27.4,False
260,3838858,0.0284472297,33618.99382286983,34839703.04006317,26.6,False
261,54054466,0.6310154296,70906.47996798692,50235947.713711016,19.87,False
262,2163693,3.1771665298,64131.76822417856,54612838.58265195,16.36,False
263,3076610,0.7482383761,94426.2546985804,41157906.19230857,19.5,False
264,3646648,0.2157943048,59575.65641408612,48293091.83949935,22.2,False
265,3798985,0.3266178974,111196.4825539295,20353624.740231197,21.3,True
266,3840690,0.0941976306,54905.89312846003,53750823.427094825,24.0,False
267,54203701,0.0225964377,48343.633338964115,49876858.49425792,27.1,False
268,2162723,1.7459828712,83390.53391989898,48398525.76809154,17.66,False
269,3532401,0.2594418179,39369.69198533199,37031881.50663209,21.8,False
270,3709716,0.0358129403,30717.014780389203,31927069.058670808,26.1,False
271,54239534,0.648694146,76147.27046315363,28289727.67595007,19.81,True
272,3508124,0.0392681082,36615.16995895075,39415599.50118855,25.9,False
273,3744322,0.1794898848,56771.271410114765,54368864.75960621,22.6,False
274,3767609,0.1032856481,37995.869290250506,47526705.536544755,23.8,False
275,3768613,0.1794898848,65395.29756752506,55076791.41653181,22.6,False
276,3838020,0.4721064988,74555.60590240403,56266484.72380535,20.5,True
277,54017580,0.130028927,56100.82793665841,41331407.494675115,23.3,False
278,54239779,0.0380224396,37051.04099805627,33060612.18163795,25.97,False
279,2022099,1.5067457626,35795.765516680774,46275827.552586496,17.98,False
280,2162483,2.0419259045,103584.53226140625,51220920.009370714,17.32,False
281,2380188,1.1325046106,19324.2600891716,42337251.59074754,18.6,False
282,3512347,0.5346135707,72568.05440842407,70300720.8723746,20.23,False
283,3780641,0.2477650126,47498.503687607044,50495999.4606232,21.9,False
284,3872638,0.0358129403,43321.08088227862,36629247.640233785,26.1,False
285,2455176,0.4246586539,113746.43142264544,30691920.150142375,20.73,True
286,2471487,0.7145621017,57143.66815372148,46321278.45343613,19.6,False
287,3170245,0.0089958039,36158.74530016614,51513601.32050627,29.1,False
288,3630815,0.1081533507,32464.2544751185,40436013.05378626,23.7,False
289,3796292,0.6824015094,81704.82619031324,47938359.776217885,19.7,True
290,54247854,0.0977327184,61077.27626903324,58197307.057010435,23.92,False
291,2474238,0.2978790628,40604.33254121975,36385357.20586652,21.5,False
292,2483432,0.5370812349,71621.96168787192,37249524.85926891,20.22,True
293,3370168,0.0714562102,53351.951513635,45454709.99612949,24.6,False
294,3557825,0.1636967205,54669.375562430854,19887346.6485449,22.8,False
295,3644684,0.2366137501,27443.960208809316,43677861.20419912,22.0,False
296,3645001,0.7145621017,113451.43557003271,66728062.26235123,19.6,False
297,3698842,0.1032856481,60520.959610602236,43190904.348789915,23.8,False
298,3989092,0.1563291544,62687.95609792052,46159239.934452005,22.9,False
299,2399308,0.4467247133,39012.688864474556,44252688.631718114,20.62,False
300,3076622,0.1492931834,40128.634364704325,47845933.77771858,23.0,False
301,3578917,0.3963145151,58365.87704095006,58725892.53200132,20.88,False
302,3673976,0.0899580388,34022.391684713875,32060080.84564828,24.1,False
303,3787090,0.0225964377,30604.734617353697,32718407.717063952,27.1,False
304,3797750,0.0714562102,60226.020252408176,41420916.941872194,24.6,False
305,3989074,0.2489086439,66097.56538844426,42185614.641940296,21.89,True
306,54054624,0.0284472297,35726.116518801784,33354030.85016132,26.6,False
307,2481025,0.4721064988,63470.24154611768,57465568.4601505,20.5,False
308,2481918,1.3428885744,92487.05091835464,60890958.63120743,18.23,False
309,3092069,0.1081533507,18826.7202112359,23253722.46773956,23.7,False
310,3297635,0.3515928047,72245.01428704981,55298761.24618802,21.14,False
311,3557826,0.1968067451,61260.08948547503,37302936.92789432,22.4,False
312,3710019,0.3090579921,56350.48709696794,48886612.83797312,21.42,False
313,3758255,0.1968067451,61882.41042904119,38240271.29549209,22.4,False
314,3838078,0.0567596853,78231.12876612159,33134515.802890014,25.1,False
315,54017652,0.0411187571,47401.68876805793,43203452.81431241,25.8,False
316,3092289,1.0448163949,112633.4933789436,25707918.77682573,18.775,True
317,3368185,0.130028927,41528.7232860672,41105687.06239346,23.3,False
318,3532366,0.1132504611,41029.23374715865,33624552.568026915,23.6,False
319,3773657,0.1879489824,65357.14826424926,39556854.147134125,22.5,False
320,3799300,0.0472106499,71900.94971652575,43197816.16318518,25.5,False
321,3825435,0.2844722965,62323.4570521786,49577834.41033384,21.6,False
322,3986832,0.1096579137,60618.11155306844,42596121.025800355,23.67,False
323,54128963,0.0704757942,63040.4194778446,37112753.069328986,24.63,False
324,54185582,0.1399716167,31492.656587512505,44151570.17189799,23.14,False
325,3283950,0.3750075218,70945.18201639935,55039793.18035288,21.0,False
326,3545552,0.0124176661,19271.62932052865,22690568.91411995,28.4,False
327,3574593,0.1492931834,32186.51297243121,44058046.97956917,23.0,False
328,3596685,0.2157943048,74704.63753240304,45521921.61576231,22.2,False
329,3626029,0.2280551997,65367.656552487155,48639095.901004925,22.08,False
330,3724393,0.358129403,82525.27098121094,54896219.60003135,21.1,False
331,3734190,0.2060819612,49519.48865076133,46829294.19549621,22.3,False
332,2019356,2.6426520142,29134.6103060234,21794141.15689932,16.76,False
333,2162781,1.644523102,19557.82055681385,51459325.953656204,17.79,False
334,2164342,0.411187571,46859.66929428472,50295658.49842755,20.8,False
335,2503966,1.4257388333,124061.7518774905,61318760.30406754,18.1,False
336,3069008,0.411187571,17082.5001334524,19277643.695859578,20.8,False
337,3743123,0.1306291133,57230.834426936366,32342860.049371727,23.29,False
338,3792456,0.1132504611,36269.09130634893,44781035.728011996,23.6,False
339,3991614,0.0567596853,33491.221033655245,27711374.480150133,25.1,False
340,54123272,0.0335768522,38854.02585594128,31894684.845657613,26.24,False
341,2467352,0.3266178974,57601.98920882865,51334026.598243676,21.3,False
342,2474223,0.8995803882,75758.34714995394,46102918.463180065,19.1,False
343,2482796,0.7482383761,61681.326254082625,48676035.13364983,19.5,True
344,3057547,0.4656289548,36489.508062504894,48037426.291107506,20.53,False
345,3325502,0.0284472297,34981.80346913786,44301085.11344075,26.6,False
346,3371143,0.0311917671,49505.96551915334,38886645.99309885,26.4,False
347,3604307,0.2844722965,32450.10950567423,47483058.82509274,21.6,True
348,3648862,0.6516883822,36104.83159652213,48665599.96938348,19.8,False
349,3799638,0.8204270649,76323.07282718898,47955357.082882896,19.3,False
350,3838929,0.0225964377,46632.61874572398,40986442.3336829,27.1,False
351,54147685,0.154184238,49045.78772926427,45962481.04884907,22.93,False
352,2612202,0.4656289548,36489.5081418566,48037426.29484744,20.53,False
353,3561031,0.1968067451,67899.35590687756,39759403.55362778,22.4,False
354,3585467,0.157050737,33123.154160096085,35151118.794272535,22.89,False
355,3712421,0.303417048,18824.80346708485,72991438.84915861,21.46,False
356,3831618,0.016369672,23086.394410987,28653303.5250151,27.8,False
357,2311554,1.0666943108,66940.26638145582,52143775.13177868,18.73,False
358,3262691,0.0941976306,26430.968904324563,33887401.833006255,24.0,False
359,3267564,0.0517654482,30145.606007257007,28229520.030498143,25.3,False
360,3273523,0.1492931834,45793.0054468776,41515547.2395543,23.0,False
361,3444370,0.1879489824,65265.746408139574,47872876.457328126,22.5,False
362,3750669,0.1191351672,33955.943673776725,41374785.31206221,23.49,False
363,3872623,0.1563291544,48114.53387569403,44132994.84298868,22.9,False
364,2380205,0.8204270649,40882.393322238946,58510596.1319482,19.3,False
365,3672731,0.0342010925,22759.210903312724,30071100.846912052,26.2,False
366,3683395,0.7145621017,68345.54209589255,46256475.86716354,19.6,False
367,3709711,0.3631114793,38782.04965854974,49894545.04544521,21.07,True
368,3727233,0.1425738833,42925.71692744686,36079753.294416055,23.1,False
369,3744790,0.3119176705,66729.53039170963,41709610.84419788,21.4,True
370,3781727,0.1714115092,44450.67720186557,37841123.63106464,22.7,False
371,3835878,0.0196806745,37574.90946559786,29920927.55953312,27.4,False
372,54106593,0.1032856481,38242.19506170337,34038192.63793504,23.8,False
373,2138947,1.0233871954,39733.476473749375,48503385.23568454,18.82,False
374,3026912,0.0517654482,23648.484972107453,25738290.4831882,25.3,False
375,3273787,0.0682401509,31618.316769406403,47029258.84258766,24.7,False
376,3395989,0.8954471917,78975.9631892207,62699942.61514478,19.11,False
377,3746217,0.1636967205,44837.19926412462,42731236.964673474,22.8,False
378,3827311,0.0769201245,42240.99580754421,37959930.217974655,24.44,False
379,54248453,0.0154184238,51177.28858282374,45738163.883343704,27.93,False
380,54257607,0.1185877909,42448.96560770024,39460868.390109055,23.5,False
381,2613910,0.8954471917,78975.96257154684,62699942.62013137,19.11,False
382,3070749,0.0517654482,42101.4205175713,891530.540796032,25.3,False
383,3177208,0.0820427065,38292.131571518,57110704.30990283,24.3,False
384,3766588,0.0748238376,33430.916234106975,52552817.022303775,24.5,False
385,2068372,1.0520587161,45421.56467000023,29089060.74528277,18.76,True
386,2138359,1.4860724357,56424.417238259324,61353160.30601667,18.01,False
387,2139047,2.0608196123,95444.1462080891,46797992.72779407,17.3,False
388,2203217,1.1118340719,5487.0973091104,58039917.94179792,18.64,False
389,3005973,0.2594418179,111704.01518089879,45228980.66480754,21.8,True
390,3483800,0.0682401509,30400.322667729004,28781038.494089473,24.7,False
391,54265631,0.0505871228,53580.16051786362,46836769.022282586,25.35,False
392,2001620,5.0820622309,50172.79123852701,40020608.63619857,15.34,True
393,2138971,1.1696070537,45713.65102636562,37658825.25117343,18.53,True
394,3383667,0.0358129403,34774.5033162413,36973114.16589952,26.1,False
395,3626687,0.0411187571,11913.904854140283,13845311.095124776,25.8,False
396,3743903,0.0297879063,63156.73230372742,35944315.92246313,26.5,False
397,3799805,0.0859092601,47213.60208633607,47306226.50827477,24.2,False
